OBJECTID,ID,ADDRESS,TERMINAL_NUMBER,LATITUDE,LONGITUDE,INSTALLED,LOCKED,INSTALL_DATE,REMOVAL_DATE,TEMPORARY_INSTALL,NUMBER_OF_BIKES,NUMBER_OF_EMPTY_DOCKS,X,Y,SE_ANNO_CAD_DATA,OWNER
328739114,347,Connecticut Ave & McKinley St NW,31315,38.964544,-77.075135,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,3,16,393488.39756667,144072.9254812,,DC
328739115,348,15th & L St NW,31276,38.90366,-77.034846,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,16,3,396977.47844927,137312.16782257,,DC
328739116,349,17th & G St NW,31277,38.8983,-77.039732,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,25,4,396553.41074085,136717.33792365,,DC
328739117,350,Spring St & 2nd Ave,32050,38.997653,-77.034499,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,0,15,397011.52018405,147746.23200566,,
328739118,351,18th & R St NW,31278,38.912648,-77.041834,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,4,14,396371.80070351,138310.16380231,,DC
328739119,352,Joyce St & 16th St S,31091,38.859254,-77.063275,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,3,10,394508.14728183,132384.08827775,,
328739120,353,Union Market,31517,38.907908,-76.99707,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,14,8,400254.13134801,137783.15757588,,DC
328739121,354,Lee Hwy & N Monroe St,31092,38.896456,-77.104562,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,5,10,390929.4393853,136517.08391716,,
328739122,355,21st St & N Pierce St,31093,38.898984,-77.078317,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,1,14,393206.38482175,136795.43149257,,
328739123,356,Lee Hwy & N Kirkwood Rd,31094,38.895377,-77.09713,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,2,13,391574.02398088,136396.59421225,,
328739124,357,19th & G St NW,31279,38.898412,-77.043182,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,14,8,396254.14318763,136729.90672594,,DC
328739125,358,2nd St & Seaton Pl NE,31522,38.914751,-77.00356,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,5,13,399691.25569893,138542.7889275,,DC
328739126,359,Wilson Blvd & N Illinois St,31902,38.876528,-77.12712,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,5,10,388969.49519692,134307.40677263,,
