duration,member,start_hour,dc
1543,0,18,0
281,1,13,1
177,1,18,1
491,1,18,1
735,0,6,1
513,1,11,1
241,1,15,1
397,1,12,1
947,1,13,1
498,1,17,1
445,1,18,0
549,1,17,1
430,1,16,1
944,1,14,1
591,1,11,1
644,1,20,1
249,1,14,1
311,1,13,1
898,1,16,1
878,1,12,1
950,1,7,1
3152,0,18,1
734,1,8,1
776,1,17,1
1965,1,17,0
511,1,9,1
945,0,19,1
1237,1,18,1
1220,1,21,1
2167,0,15,1
705,1,17,0
562,1,23,1
1212,1,16,1
484,1,20,1
1586,1,17,1
401,1,14,1
1148,1,18,1
327,1,10,1
157,1,9,1
1651,1,8,0
726,1,8,1
361,0,19,1
831,1,17,1
717,1,10,1
424,1,11,1
711,1,15,1
274,1,8,0
1251,1,20,1
983,1,9,1
149,1,8,1
967,0,21,1
1947,0,17,1
1310,1,11,1
177,1,17,1
455,1,10,1
574,1,12,1
1315,0,19,1
582,1,8,1
1572,1,10,1
606,1,17,1
668,0,14,1
1337,0,13,1
1311,1,10,1
6315,0,10,1
3029,1,13,1
1813,0,14,0
1050,1,8,1
191,1,18,1
458,1,18,1
1343,1,17,0
91,1,8,1
1956,0,22,1
334,1,19,1
331,1,17,1
477,1,18,0
859,1,8,0
435,1,23,1
1269,1,18,1
1151,1,14,1
1009,1,17,1
1490,1,10,1
1575,0,20,0
905,1,17,1
434,1,12,1
459,1,19,1
1987,0,17,1
312,1,7,1
581,1,5,1
438,1,8,1
375,1,1,1
373,1,19,1
240,1,15,1
812,1,20,1
371,1,18,1
532,1,8,1
3726,0,16,1
654,1,22,0
949,1,15,1
341,1,12,1
222,1,1,1
762,1,8,1
486,0,14,0
123,1,19,1
623,1,16,1
375,1,19,1
251,1,7,1
412,1,23,0
246,1,16,1
500,1,7,1
1207,1,15,1
1978,1,20,0
425,1,14,1
142,1,17,1
1859,0,16,1
385,1,19,1
228,1,22,1
404,1,18,1
406,1,7,1
194,1,14,1
557,1,1,1
204,1,16,1
274,1,10,1
585,1,13,1
451,1,9,1
1421,1,19,1
2470,0,13,0
664,1,17,1
231,1,10,1
2502,0,16,1
581,1,8,1
197,1,14,0
3737,1,12,1
726,1,18,1
1374,1,17,1
1275,1,16,1
350,1,13,1
972,1,18,0
526,1,8,1
923,0,7,1
1108,0,15,1
415,1,16,1
637,1,11,1
234,1,9,0
889,1,10,1
378,0,19,1
445,1,9,0
200,1,17,1
721,0,15,1
360,1,17,0
1068,1,8,1
332,0,14,1
1142,1,17,1
329,1,14,0
650,1,15,1
344,1,22,1
6162,0,19,1
784,0,20,1
469,1,14,1
239,1,7,0
946,1,14,1
864,1,10,1
1498,1,18,1
389,1,13,1
1815,1,17,0
664,1,17,1
2411,0,15,1
359,1,19,0
6613,0,20,1
251,1,12,1
230,1,21,1
514,1,9,1
799,1,18,1
859,1,7,1
1609,1,16,1
715,1,8,1
1150,0,18,1
273,1,4,1
371,1,10,1
240,1,21,1
418,1,15,1
446,0,14,1
3344,0,14,1
155,1,6,1
1043,1,13,0
208,1,16,1
710,0,7,1
832,0,17,1
202,1,9,1
1222,0,15,1
699,1,9,1
756,0,12,1
414,1,22,1
502,1,18,1
4547,0,4,1
373,1,8,0
1668,0,20,1
971,0,15,1
1969,0,11,1
9458,0,21,1
1302,1,17,1
518,1,16,1
276,1,12,1
1277,0,18,1
395,1,17,1
183,1,0,0
810,1,20,0
419,1,18,0
883,1,12,1
128,1,10,0
867,1,20,1
1260,1,17,1
395,1,16,1
1301,0,12,1
411,1,15,1
370,1,16,1
453,1,8,1
247,1,15,1
460,1,9,0
739,1,17,1
1503,0,0,1
281,1,21,1
997,1,18,1
539,1,8,1
535,1,18,1
183,1,15,0
822,1,18,1
359,1,7,1
4500,0,22,1
1391,1,18,1
1575,1,0,1
547,1,11,1
1743,1,18,1
587,1,23,1
3350,0,20,1
1066,1,12,1
1557,1,11,1
473,1,10,1
499,1,18,1
1169,1,16,1
365,1,19,1
1217,1,20,1
1223,1,17,1
824,1,16,1
2313,0,20,1
1114,1,18,0
759,1,7,1
696,1,8,1
423,1,10,1
1192,1,8,1
943,1,12,1
517,1,19,1
691,0,18,1
1471,1,8,1
93,1,16,1
180,1,8,1
568,1,18,1
383,1,19,0
488,1,17,1
768,1,18,0
1486,1,8,0
793,0,16,0
1508,1,18,1
267,1,17,1
3099,0,9,1
560,1,18,1
526,1,15,1
1617,1,19,1
3755,0,13,1
283,1,17,1
871,1,15,1
293,1,12,1
212,1,12,1
10068,1,20,1
396,1,16,0
866,1,18,1
365,1,18,1
297,1,18,1
415,1,18,1
606,1,7,1
393,1,21,0
1532,0,13,1
576,1,15,1
1405,0,22,1
957,1,16,1
989,1,22,1
862,1,17,1
754,1,9,1
461,1,11,1
617,1,21,1
489,1,17,1
660,1,16,1
354,1,11,1
465,1,21,1
375,1,6,1
333,1,11,1
1205,1,10,1
954,1,19,1
588,1,14,1
656,1,14,1
81524,0,13,1
795,1,18,1
452,1,19,1
194,1,16,1
523,1,16,1
3470,1,12,1
1055,1,11,1
263,1,17,1
6911,0,16,1
245,1,17,1
1912,0,20,1
1576,0,12,1
342,1,15,1
934,1,8,1
357,1,16,1
832,1,15,1
867,1,17,1
1823,1,14,1
250,1,10,1
511,1,8,1
1092,1,21,1
1458,0,13,1
12425,1,19,1
900,0,22,1
1356,0,13,1
765,1,5,1
677,1,21,1
1037,1,18,1
970,1,7,1
1241,1,15,0
679,1,7,1
580,1,18,1
2757,0,13,1
2914,1,19,0
955,1,10,1
647,0,22,1
671,1,18,1
283,1,18,1
1389,1,18,1
324,1,16,1
2419,1,13,0
589,1,15,0
473,1,9,0
1116,1,8,1
916,1,11,1
736,1,16,1
148,1,21,1
